rank;title;revenue;ceo;title;sector;industry;hq;website;years;employees
313;Frontier Communications;$8,896;NA;NA;NA;NA;NA;NA;NA;NA;
314;Netflix;$8,831;NA;NA;NA;NA;NA;NA;NA;NA;
315;American Family Insurance Group;$8,829;NA;NA;NA;NA;NA;NA;NA;NA;
316;Thrivent Financial for Lutherans;$8,777;NA;NA;NA;NA;NA;NA;NA;NA;
317;Expedia;$8,774;NA;NA;NA;NA;NA;NA;NA;NA;
318;Lithia Motors;$8,678;NA;NA;NA;NA;NA;NA;NA;NA;
319;Avis Budget Group;$8,659;NA;NA;NA;NA;NA;NA;NA;NA;
320;Reliance Steel & Aluminum;$8,613;NA;NA;NA;NA;NA;NA;NA;NA;
321;GameStop;$8,608;NA;NA;NA;NA;NA;NA;NA;NA;
322;Tenneco;$8,599;NA;NA;NA;NA;NA;NA;NA;NA;
323;O’Reilly Automotive;$8,593;NA;NA;NA;NA;NA;NA;NA;NA;
324;Peter Kiewit Sons’;$8,573;NA;NA;NA;NA;NA;NA;NA;NA;
325;United Natural Foods;$8,470;NA;NA;NA;NA;NA;NA;NA;NA;
326;salesforce.com;$8,392;NA;NA;NA;NA;NA;NA;NA;NA;
327;Boston Scientific;$8,386;NA;NA;NA;NA;NA;NA;NA;NA;
328;Newmont Mining;$8,379;NA;NA;NA;NA;NA;NA;NA;NA;
329;Genworth Financial;$8,369;NA;NA;NA;NA;NA;NA;NA;NA;
330;Live Nation Entertainment;$8,355;NA;NA;NA;NA;NA;NA;NA;NA;
331;Veritiv;$8,327;NA;NA;NA;NA;NA;NA;NA;NA;
332;News Corp.;$8,319;NA;NA;NA;NA;NA;NA;NA;NA;
333;Crown Holdings;$8,284;NA;NA;NA;NA;NA;NA;NA;NA;
334;Global Partners;$8,240;NA;NA;NA;NA;NA;NA;NA;NA;
335;PVH;$8,203;NA;NA;NA;NA;NA;NA;NA;NA;
336;Level 3 Communications;$8,172;NA;NA;NA;NA;NA;NA;NA;NA;
337;Navistar International;$8,111;NA;NA;NA;NA;NA;NA;NA;NA;
338;Univar;$8,074;NA;NA;NA;NA;NA;NA;NA;NA;
339;Campbell Soup;$7,961;NA;NA;NA;NA;NA;NA;NA;NA;
340;Dick’s Sporting Goods;$7,922;NA;NA;NA;NA;NA;NA;NA;NA;
341;Weyerhaeuser;$7,902;NA;NA;NA;NA;NA;NA;NA;NA;
342;Mutual of Omaha Insurance;$7,899;NA;NA;NA;NA;NA;NA;NA;NA;
343;Chesapeake Energy;$7,872;NA;NA;NA;NA;NA;NA;NA;NA;
344;Anadarko Petroleum;$7,869;NA;NA;NA;NA;NA;NA;NA;NA;
345;Interpublic Group;$7,847;NA;NA;NA;NA;NA;NA;NA;NA;
346;J.M. Smucker;$7,811;NA;NA;NA;NA;NA;NA;NA;NA;
347;Steel Dynamics;$7,777;NA;NA;NA;NA;NA;NA;NA;NA;
348;Foot Locker;$7,766;NA;NA;NA;NA;NA;NA;NA;NA;
349;Western Refining;$7,743;NA;NA;NA;NA;NA;NA;NA;NA;
350;SpartanNash;$7,735;NA;NA;NA;NA;NA;NA;NA;NA;
351;Dean Foods;$7,710;NA;NA;NA;NA;NA;NA;NA;NA;
